Namespace(heuristic=False, output='res/LunarLanderAgent3_corrected_with_heruistic.gif', weight='res/last_weight/5/LunarLander-v2.ckpt')

WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

Restore model from res/last_weight/5/LunarLander-v2.ckpt
iteration:  1
reward  0.13001192631840652 action  0
reward  0.5631587247424719 action  0
reward  0.6130350648081055 action  0
reward  0.4738465886386365 action  0
reward  0.3467430755036176 action  0
reward  0.33859155220060444 action  0
reward  0.44416748574904474 action  0
reward  0.5207616032288591 action  0
reward  0.5418336646227715 action  0
reward  0.5698675167441394 action  0
reward  0.6377350915995414 action  0
reward  0.7261445250112111 action  0
reward  0.7901711135199534 action  0
reward  0.7962688271937566 action  0
reward  0.7440834885532652 action  0
reward  0.6629846787694902 action  0
reward  0.9505394477418889 action  0
reward  0.7609495600200908 action  0
reward  0.6965994303034897 action  0
reward  0.6952516628560659 action  0
reward  0.7272766233387458 action  0
reward  0.760141295428788 action  0
reward  0.7785937401808454 action  0
reward  0.7865416388790507 action  0
reward  0.7944899198973374 action  0
reward  0.8058471623922863 action  0
reward  0.8136245167012923 action  0
reward  0.8054414544203272 action  0
reward  0.7477862274290796 action  0
reward  0.5795787310500735 action  0
reward  0.4151080347126985 action  0
reward  0.32074701473491984 action  0
reward  0.28202902445028855 action  0
reward  0.2565708945756704 action  0
reward  0.248663051997557 action  0
reward  0.25599774856235236 action  0
reward  0.2734224693804137 action  0
reward  0.2944893204742094 action  0
reward  0.3132244922248013 action  0
reward  0.32550946208472986 action  0
reward  0.3296870354227899 action  0
reward  0.3264726803370408 action  0
reward  0.3181715055999135 action  0
reward  0.30776572628113463 action  0
reward  0.29802776102508766 action  0
reward  0.29088703785827086 action  0
reward  0.2872356118630126 action  0
reward  0.2869202392373662 action  0
reward  0.2890732067984221 action  0
reward  0.29241389365758685 action  0
reward  0.29568722599248254 action  0
reward  0.2979473728818931 action  0
reward  0.2987330058419282 action  0
reward  0.2980221307109048 action  0
reward  0.29617746221243024 action  0
reward  0.29377820035845303 action  0
reward  0.29135220477494705 action  0
reward  1.1496366106255902 action  0
reward  0.5485959488332668 action  0
reward  0.23971141146298436 action  0
reward  -0.07205670420181676 action  0
reward  0.08083117514076932 action  0
reward  0.07347403075622339 action  0
reward  -0.02453590883698098 action  0
reward  0.008837365382568407 action  0
reward  0.013766796551593075 action  0
reward  -0.0014725757673765827 action  0
reward  0.0006710460698080567 action  0
reward  0.0023641166427132987 action  0
reward  0.00033860690525600035 action  0
reward  -0.00012467014127182097 action  0
reward  0.00036225643322396195 action  0
reward  0.00018387870512981408 action  0
reward  -5.8863901649885975e-05 action  0
reward  5.207692750275328e-05 action  0
reward  5.085637786095276e-05 action  0
reward  -1.2504675233060425e-05 action  0
reward  3.457462842249015e-06 action  0
reward  5.602337058263629e-06 action  0
reward  4.196131655476165e-06 action  0
reward  -3.1981806998260254e-06 action  0
reward  -2.4731087222562564e-07 action  0
reward  7.997312039265125e-07 action  0
reward  100 action  0
iteration:  2
reward  0.42447063610879465 action  1
reward  0.43336308779515886 action  1
reward  1.086586864816952 action  1
reward  1.1350499690613856 action  1
reward  1.166693383741632 action  1
reward  1.5189199052487663 action  1
reward  1.4910382386495382 action  1
reward  1.5568367491729316 action  1
reward  0.5803944589403909 action  1
reward  -0.1273811125983559 action  1
reward  -0.6790312918194263 action  1
reward  -0.9771278212668324 action  1
reward  -0.9933954980700708 action  1
reward  -1.5104888460164136 action  1
reward  -1.7584689474186053 action  1
reward  -2.0026601045507832 action  1
reward  -2.1282589591532983 action  1
reward  -2.385201656456785 action  1
reward  -2.7313838774766155 action  1
reward  -3.028878154237104 action  1
reward  -0.5350862707350246 action  2
reward  0.7919801585649509 action  2
reward  1.9509950200526986 action  2
reward  -0.9952872920626874 action  2
reward  1.1967996705999837 action  2
reward  -2.1312242902784986 action  2
reward  0.9856144691643294 action  2
reward  -0.35322761712082523 action  2
reward  2.867474456182447 action  2
reward  -0.4790229423547771 action  2
reward  0.6280352178025737 action  2
reward  2.8046573528121828 action  2
reward  1.9838132929808807 action  2
reward  1.9120257953058057 action  2
reward  -5.2500068743702855 action  0
reward  -4.937797851551806 action  3
reward  -4.992207171918096 action  0
reward  -4.495710381400868 action  3
reward  -4.263118127923803 action  3
reward  -3.869146984202557 action  3
reward  -3.74200841333615 action  3
reward  -0.32660854518978794 action  2
reward  -3.22091391437135 action  3
reward  -3.036702558067246 action  3
reward  -2.7253804264582286 action  3
reward  -2.3764716282604454 action  3
reward  -1.9887933936192599 action  3
reward  -2.4669496363516714 action  0
reward  -1.6156708653270175 action  3
reward  -1.3225522719545484 action  3
reward  2.4407375609963085 action  2
reward  -1.1778557134547032 action  3
reward  -0.992953876385825 action  3
reward  -0.7465859558572265 action  3
reward  -1.111114031250679 action  0
reward  -0.2956383112296226 action  3
reward  -0.765296115432875 action  0
reward  0.06766263686861976 action  3
reward  0.4666529449022619 action  2
reward  0.7486136626287816 action  2
reward  1.6259543107639842 action  2
reward  -0.05609913694519264 action  0
reward  1.0107378616296228 action  3
reward  0.923818136496277 action  2
reward  1.6512175720388427 action  2
reward  1.1673302833981165 action  3
reward  1.5706235664782764 action  3
reward  1.0376060279733508 action  2
reward  1.6649133466065222 action  2
reward  2.281969625404743 action  3
reward  2.13852370871527 action  3
reward  3.0617259998746933 action  2
reward  2.47009398645733 action  3
reward  2.798720294245841 action  3
reward  2.868273132243617 action  3
reward  3.5664199347008436 action  2
reward  3.0210075849205795 action  2
reward  3.3435824896288695 action  2
reward  3.2708845120423873 action  3
reward  3.608540511193071 action  3
reward  5.3933842379196735 action  2
reward  4.5985102269852804 action  2
reward  4.142264832700232 action  2
reward  3.857726125409131 action  3
reward  4.206031901080508 action  3
reward  3.9527332508510655 action  2
reward  4.350093832788134 action  3
reward  7.236754840626571 action  2
reward  4.864827052134001 action  2
reward  6.329865776019614 action  2
reward  8.00332859946776 action  2
reward  7.289342908161768 action  2
reward  3.098239068022264 action  2
reward  -0.6161584516308267 action  2
reward  -3.964838019794597 action  3
reward  1.4547579794542116 action  2
reward  -0.6967460117812891 action  2
reward  1.379555315726816 action  2
reward  1.7579690095393061 action  2
reward  -0.31539080007077586 action  2
reward  -2.11468231097071 action  2
reward  -4.647045051594375 action  0
reward  -4.78398082810537 action  1
reward  1.1885274782112105 action  2
reward  -4.49599081966005 action  1
reward  0.019925800058513243 action  2
reward  -4.271801684885446 action  0
reward  -4.246087737889695 action  0
reward  1.7901501215972473 action  2
reward  -4.222468566785323 action  1
reward  -4.011698917233729 action  1
reward  -4.000758786803573 action  0
reward  -3.81836700955469 action  1
reward  1.1935770781226835 action  2
reward  -3.538827770551505 action  1
reward  -3.288281769127734 action  1
reward  -3.1789336173135028 action  1
reward  -0.22375455808030437 action  2
reward  -3.0233074049199034 action  1
reward  43.31202621464706 action  1
reward  1.213468847733435 action  2
reward  -2.368930089177809 action  0
reward  -1.01304083667236 action  0
reward  0.4959519107447363 action  0
reward  1.7863170264918722 action  0
reward  2.449469865769288 action  0
reward  2.707621727484451 action  0
reward  2.7704237940250778 action  0
reward  2.870317532476122 action  0
reward  3.126484439092934 action  0
reward  3.45881814325827 action  0
reward  3.3565115777277867 action  0
reward  3.6206447264534916 action  0
reward  10.381707027737999 action  2
reward  3.4421938074893177 action  0
reward  6.725314794187679 action  2
reward  -2.626165898924188 action  2
reward  3.4740862773492736 action  3
reward  2.9942202329984737 action  3
reward  2.585279399793792 action  3
reward  13.572363283575642 action  3
reward  11.014731476291015 action  2
reward  6.00480875083866 action  2
reward  6.354818730322916 action  2
reward  9.071415395097464 action  2
reward  -1.9802804202699733 action  2
reward  3.639869292097161 action  3
reward  13.282082992761206 action  3
reward  8.640759112603885 action  2
reward  4.502282578120831 action  2
reward  0.7737907584270687 action  0
reward  -1.4689391688822084 action  0
reward  10.425490575412706 action  0
reward  0.7415427794248579 action  0
reward  0.9174169056415771 action  0
reward  0.31036503285054806 action  0
reward  -1.6049765489788612 action  0
reward  -1.6176571454438609 action  0
reward  -1.2111393535657022 action  0
reward  -0.8237116146769559 action  0
reward  -0.42581293358067285 action  0
reward  -0.03932980409295794 action  0
reward  0.35785113967791204 action  0
reward  0.6391889399811355 action  0
reward  0.6896180924726387 action  0
reward  0.6024385494590128 action  0
reward  0.44466629769119237 action  0
reward  0.2974554716857476 action  0
reward  0.19487001566209727 action  0
reward  0.12523086432747021 action  0
reward  0.06996070688843048 action  0
reward  0.029457416963811767 action  0
reward  0.018855943475241332 action  0
reward  0.048710631173186414 action  0
reward  0.11327141510379235 action  0
reward  0.1931072129787701 action  0
reward  1.3930988721092348 action  0
reward  0.7816860484875505 action  0
reward  0.5990158784740842 action  0
reward  0.44087515875101246 action  0
reward  0.3691557005174815 action  0
reward  0.3694147389103364 action  0
reward  0.400871219662541 action  0
reward  0.438179169208631 action  0
reward  0.4752170558230411 action  0
reward  0.12537305604361038 action  0
reward  0.15634627318368288 action  0
reward  0.15879421230198787 action  0
reward  0.1569261937737778 action  0
reward  0.15603727168397796 action  0
reward  0.15521287360171954 action  0
reward  0.15439721222023195 action  0
reward  0.1535997793636419 action  0
reward  0.15282910910807956 action  0
reward  0.1520763824099518 action  0
reward  0.15133339051616446 action  0
reward  0.15062157200157955 action  0
reward  0.1499157338895536 action  0
reward  0.14923607477166456 action  0
reward  0.14857404126538043 action  0
reward  0.14792208848247768 action  0
reward  0.14730884342688455 action  0
reward  0.1466905095876605 action  0
reward  0.14611140682303514 action  0
reward  0.14553969164633074 action  0
reward  0.14498799886890268 action  0
reward  0.14444416825040207 action  0
reward  0.14393251849634225 action  0
reward  0.14343277814380428 action  0
reward  0.14295478270813078 action  0
reward  0.14249853704652793 action  0
reward  0.14204060491699622 action  0
reward  0.14161998693592182 action  0
reward  0.1412032716911149 action  0
reward  0.14081230044184423 action  0
reward  0.14043901556497929 action  0
reward  0.1400776000467019 action  0
reward  0.13974536378056257 action  0
reward  0.1394186922505085 action  0
reward  0.1391098292525328 action  0
reward  0.13881688150638993 action  0
reward  0.13854069484346354 action  0
reward  0.1383007252184818 action  0
reward  0.13805524758025456 action  0
reward  0.13783841217933457 action  0
reward  0.13764061131474392 action  0
reward  0.1374438000322158 action  0
reward  0.1372779942862934 action  0
reward  0.1371282909932816 action  0
reward  0.1369940865392678 action  0
reward  0.13688308586763753 action  0
reward  0.13676739978035712 action  0
reward  0.13670189149610223 action  0
reward  0.1366161562315682 action  0
reward  0.7388743015437811 action  0
reward  0.6225880471092893 action  0
reward  0.5990843370814307 action  0
reward  0.5918933731872897 action  0
reward  0.590118009357667 action  0
reward  -9.41729219632201 action  0
reward  0.5770055378846237 action  0
reward  0.5713573107564365 action  0
reward  0.5656954682794435 action  0
reward  -0.1821744756511059 action  0
reward  0.06421277993388408 action  0
reward  0.10233569124428321 action  0
reward  -0.008666152508945757 action  0
reward  0.0032243853386617616 action  0
reward  0.017164762294736846 action  0
reward  0.0033063188473256844 action  0
reward  -0.0009852518027440027 action  0
reward  0.002661289599236838 action  0
reward  0.0014801894772027424 action  0
reward  -0.0004806388426992214 action  0
reward  0.0003536237207697468 action  0
reward  0.0003907557552995655 action  0
reward  -0.00010565738030443583 action  0
reward  3.8870291348303e-05 action  0
reward  7.123366327910219e-05 action  0
reward  -1.1682763680909147e-06 action  0
reward  7.857060673188698e-07 action  0
reward  1.0127706257634372e-05 action  0
reward  5.748105991187913e-06 action  0
reward  -2.7599037970560403e-06 action  0
reward  1.291974626838055e-06 action  0
reward  1.683097632820818e-06 action  0
reward  100 action  0
iteration:  3
reward  0.551932971198853 action  3
reward  0.6625266398441181 action  3
reward  1.0094136741554973 action  3
reward  1.0519147824109336 action  3
reward  1.2481476582985362 action  3
reward  1.4139647029566629 action  3
reward  1.7131424684200465 action  3
reward  1.6938466309942737 action  3
reward  1.1924696317902328 action  3
reward  0.12215694062391094 action  3
reward  -0.3124771171582654 action  3
reward  -0.573926377137268 action  3
reward  -0.7874639687125284 action  3
reward  -1.1191224932529156 action  3
reward  -1.5387595962047544 action  3
reward  -1.752020014214138 action  3
reward  -2.2643698134694987 action  3
reward  -2.4105608646579513 action  3
reward  -2.82512037549361 action  3
reward  -3.0747473632163165 action  3
reward  -3.3806353731535794 action  3
reward  -3.5152517197469693 action  3
reward  -4.2790376221695965 action  0
reward  -4.301707127311033 action  0
reward  -4.311857595471196 action  0
reward  -4.396715170339689 action  0
reward  -4.342076110668984 action  0
reward  -4.344073474105812 action  0
reward  -4.3418705510287054 action  0
reward  -4.5680143677385265 action  1
reward  -4.228399698308379 action  1
reward  -3.8906110631150157 action  1
reward  -3.559333540028915 action  1
reward  -3.26644397255714 action  1
reward  -3.040666279158613 action  1
reward  3.810999709475891 action  2
reward  4.6220137097617 action  2
reward  -2.7801947233009217 action  1
reward  -2.611404046333148 action  1
reward  -2.4676218900286244 action  0
reward  3.4202990401179365 action  2
reward  -2.3474670628440593 action  1
reward  1.2945467782786977 action  2
reward  -2.019098064238874 action  1
reward  3.3869973599914376 action  2
reward  -1.8539013315323405 action  1
reward  -1.6035136097266036 action  1
reward  3.5286759039709183 action  2
reward  -1.3382124976103842 action  1
reward  -1.5907233452413152 action  0
reward  2.181391220375713 action  2
reward  -1.0517133744583862 action  1
reward  1.3167672809590385 action  2
reward  -0.800318146550494 action  1
reward  3.8994662601750862 action  2
reward  -0.6422725171104549 action  1
reward  1.4422238438003887 action  2
reward  -0.23387185562020704 action  1
reward  2.201426992386712 action  2
reward  0.2388807594164473 action  1
reward  3.1961586549369487 action  2
reward  0.4621379865285189 action  1
reward  0.9434247723176667 action  2
reward  2.0007232773202306 action  2
reward  0.7940778768875998 action  1
reward  1.4858627081213285 action  2
reward  1.974762426660061 action  2
reward  1.4185931110057777 action  1
reward  1.5099234191326059 action  1
reward  1.205422278556466 action  2
reward  1.5892568767756188 action  2
reward  0.9344799614733119 action  2
reward  1.2127999040970678 action  0
reward  2.981406021615311 action  2
reward  2.181166975001902 action  1
reward  2.0334916052098437 action  2
reward  2.2242926652539667 action  2
reward  1.058111461316355 action  2
reward  1.4665338735525324 action  2
reward  2.6711129480391675 action  1
reward  1.569162747818052 action  2
reward  4.223725743431612 action  2
reward  2.9538238157795162 action  1
reward  3.0357694573890344 action  2
reward  3.4218062865523122 action  1
reward  3.66083756346701 action  2
reward  2.532006854756844 action  0
reward  3.771516167615329 action  2
reward  3.180595043419129 action  2
reward  3.1925355409152987 action  2
reward  2.6059200954011033 action  0
reward  2.4593308422733857 action  2
reward  3.142954708134096 action  2
reward  2.9945923512106676 action  2
reward  12.514702405019744 action  2
reward  11.59085724152943 action  2
reward  5.591649471282847 action  2
reward  22.71255324772643 action  2
reward  -100 action  2
iteration:  4
reward  -0.8429706065347478 action  1
reward  -1.5528653777759018 action  0
reward  -0.9796922523078126 action  1
reward  -1.1490444279311862 action  1
reward  -1.7222320933555 action  1
reward  -1.9354478650870977 action  1
reward  2.0010880406153264 action  2
reward  -2.1989801363068 action  1
reward  2.8299417229660095 action  2
reward  -2.3377720419568946 action  1
reward  -2.657880908664197 action  0
reward  1.6206657050847582 action  2
reward  3.374059632020317 action  2
reward  0.5501048707243796 action  2
reward  -0.10711445729966157 action  2
reward  0.2749938490923796 action  2
reward  -0.2586701894276075 action  2
